Course Name,Description,Curriculum
MidJourney: From Inspiration to Implementation - Free Course,"This course will provide you with a practical understanding of MidJourney tools. By the end of the course, you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration, use MidJourney's features, and understand its applications through engaging lessons.

Who Should Enroll:
Creative Professionals: Individuals looking to enhance their creativity and apply MidJourney tools to various artistic and visual projects.
Aspiring Creatives: Those beginning their journey into visual storytelling and digital art, seeking to learn the fundamentals of MidJourney and its alternatives.","{'1': {'title': 'MidJourney', 'lessons': ['MidJourney - Storm _ Story', 'MidJourney - Inspiration', 'MidJourney - How to use', 'MidJourney  Alternatives', 'Quiz']}}"
Understanding Linear Regression - Free Course,"This free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course, you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression. ","{'1': {'title': 'Linear Regression', 'lessons': ['Introduction to the Problem Statement', 'Resources for this Course', 'Introduction to Linear Regression', 'Significance of Slope and Intercept in the linear regression', 'How Model Decides The Best-Fit Line', 'Let’s Build a Simple Linear Regression Model', 'Model Understanding Using Descriptive Approach', 'Model Understanding Using Descriptive Approach - II', 'Model Building Using Predictive Approach', 'Quiz: Linear regression']}}"
The Working of Neural Networks - Free Course,"This free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course, you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course.","{'1': {'title': 'Understanding the working of Neural Networks', 'lessons': ['How are Neural Networks trained - Forward Propagation', 'Understanding Loss Functions + Hands on', 'Reading: Creating a Custom Loss Function (Optional)', 'Optimization Techniques - Gradient Descent', 'What is Back Propagation?', 'Types of Gradient Descent', 'Common Optimization Techniques - Part 1', 'Common Optimization Techniques - Part 2', 'Building a Deep Neural Network (Hands-on Regression Model)', 'Building a Deep Neural Network (Hands-on Classification Model)', 'Quiz']}}"
The A to Z of Unsupervised ML - Free Course,"Unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. It is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. Mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable.","{'1': {'title': 'Understanding Unsupervised Machine Learning', 'lessons': ['Resources to be used in this course.', 'Setting the Context', 'Choosing Clustering Algorithms', 'Solving our Problem using k-means - Part 1', 'Solving our Problem using k-means - Part 2', 'Finding optimal K value', 'Analysis and Insights Based on the Plots', 'Introduction to Hierarchical Clustering Analysis (HCA)', 'Solving our Problem using Hierarchical Clustering', 'Introduction to DBSCAN Clustering', 'Solving our Problem using DBSCAN', 'Reading: Applications of Clustering in the Real World', 'Project']}}"
Building Your first RAG System using LlamaIndex - Free Course,"This course will guide you through building your first Retrieval-Augmented Generation (RAG) system using LlamaIndex. You will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. Next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. Finally, you will employ a query engine to generate responses. By the end of this course, you will have a solid understanding of these processes and be able to build an RAG system using LlamaIndex code effectively.","{'1': {'title': 'Introduction to RAG systems', 'lessons': ['Welcome to this course', 'Why RAG', 'What is RAG system', 'Overview of RAG Framework', 'Quiz', 'Course handouts']}, '2': {'title': 'Getting Started with LlamaIndex', 'lessons': ['Introduction to LlamaIndex', 'Components of LlamaIndex', 'Reading Material: How to get your API Key', 'How to get Open AI Keys - 2 min - Website go through', 'Build Your First RAG system using LlamaIndex', 'Quiz']}}"
Data Preprocessing on a Real-World Problem Statement - Free Course,"This course will help you get a practical understanding of Data Preprocessing. After this course, you can work on any data and prepare it for modelling. With a carefully curated list of resources, this course is your first step to becoming a Data Scientist. By the end of the course, you will have mastered techniques like EDA and Missing Value Treatment.

Who Should Enroll:
Professionals: Individuals looking to expand their skill set on data cleaning and preparation.
Aspiring Students: For those setting out on their journey to become a data scientist and making a mark in the tech world.","{'1': {'title': 'Preparing the Dataset for Machine Learning Model', 'lessons': ['Resources to be used in this course', 'Introduction to Problem Statement', 'Reading Material - Understanding the Data', 'ML-workflow', 'Tasks to be Performed', 'Combining Product Attribute Data with POS Data', 'Combining all the tables in the Dataframe', 'Understanding the Combined Data', 'Treating Missing Values - Part 1', 'Treating Missing Values Part - 2', 'Outlier Detection and Treatment', 'Preparing the Dataset for Supervised and Unsupervised Models', 'Generative AI for Data Analysis']}}"
Exploring Stability.AI - Free Course,"This course will give you a practical understanding of Stability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects.

Who Should Enroll:
Professionals: Individuals aiming to enhance their skill set and apply Stability.AI tools/Stable Diffusion in various fields.
Aspiring Students: Those beginning their journey to mastering Generative AI tool deployment and customization, looking to make an impact in the evolving world of Generative AI","{'1': {'title': 'Mastering stability.ai and its tools', 'lessons': ['Introduction to Stability', 'How to use Stability.AI tools', 'Review of Deployment Options for SD WebUI', 'Automatic1111 WebUI on RunPod GPU environment', 'SD WebUI Hands-On - Installation and Setup', 'SD WebUI Hands-On - Generation and Settings', 'Quiz']}}"
Building a Text Classification Model with Natural Language Processing - Free Course,"Gain practical insights into Natural Language Processing (NLP) with our comprehensive course. Learn to build NLP models using PyTorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on. Perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.

Who Should Enroll:
Professionals: Expand your skill set with NLP for real-world applications in diverse industries. 
Aspiring Students: Master text data analysis and kickstart your career in AI and NLP.","{'1': {'title': 'Introduction to NLP', 'lessons': ['What is NLP', 'Common tasks in a NLP Project', 'NLP Libraries', 'Resources for the Course', 'Methods of Text Preprocessing - Part 1', 'Methods of Text Preprocessing - Part 2', 'Methods of Text Preprocessing - Part 3', 'Quiz']}, '2': {'title': 'Building a basic classification model', 'lessons': ['Introduction to dataset and problem statement', 'Creating a Basic Review Classification Model', 'Understanding TF-IDF and its implementations', 'Understanding N-grams', 'Advanced Preprocessing Techniques', 'Building an basic ANN model', 'Limitations of ANN', 'Quiz']}}"
Getting Started with Large Language Models,"This course will help you gain a comprehensive understanding of Large Language Models (LLMs) and develop advanced natural language processing (NLP) applications using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming an expert in LLMs. Master the techniques to build and fine-tune LLMs, and generate human-like text.
Who Should Enroll: Professionals: Individuals looking to expand their skill set and leverage LLMs across different industries. Aspiring Students: For those setting out on their journey to master language data analysis and leave a mark in the tech world.","{'1': {'title': 'Introduction', 'lessons': ['Course Objective', 'Course Handouts', 'The Exponential Growth']}, '2': {'title': 'The Evolution of NLP', 'lessons': ['The Evolution of NLP: Symbolic NLP', 'The Evolution of NLP: Statistical NLP', 'The Evolution of NLP: Deep Learning', 'The Evolution of NLP: Deep Learning Era II', 'The Evolution of NLP: Tranformers and Evolution', 'Quiz']}, '3': {'title': 'What are Large Language Models?', 'lessons': ['Introduction to Large Language Model', 'What is a Large Language Model?', 'Understanding Foundational Models', 'Different types of LLMs: Based on Response', 'Different types of LLMs: Based on Model Architecture', 'Quiz']}, '4': {'title': 'The Current State of the Art in LLMs', 'lessons': ['The Current State of the Art in LLMs']}, '5': {'title': 'Generative AI - Glossary', 'lessons': ['Generative AI- Glossary']}, '6': {'title': 'Your Feedback Matters!', 'lessons': ['Your Feedback Matters!']}}"
Introduction to Generative AI,"This course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content. You'll learn how generative AI works, engage in practical exercises, and gain the skills to implement these techniques in real-world projects.
Who Should Enroll:
Professionals: Individuals looking to enhance their skills in generative AI and apply advanced techniques to create innovative solutions across various domains.
Aspiring Students: Individuals eager to enter the field of generative AI and apply generative AI techniques to tackle complex problems and generate creative content across different fields.","{'1': {'title': 'Introduction to Generative AI', 'lessons': ['What is Generative AI', 'How does Gen AI work', 'Quiz', 'Text Generation with Gen AI', 'Image Generation with Gen AI', 'Quiz', 'Meet your Instructors', 'Course Handout', 'Your Feedback Matters!']}}"
Nano Course: Dreambooth-Stable Diffusion for Custom Images,"Have you ever wondered how to turn your dreams into reality by creating images of your dog traveling around the world or yourself alongside Elon Musk or playing cricket with MSD?
This is exactly where the dreambooth model comes into the picture. With the help of Dreambooth, you can personalize the stable diffusion for a particular subject.
Given just 5 images of our subject, dreambooth can create new images across diverse scenes, poses, views, and lighting conditions that do not appear in the reference images.
In this free nano course on Dreambooth, Sandeep will discuss the historical journey of stable diffusion, its current landscape, and a brief understanding of the stable diffusion training process. Then we will move on to the dreambooth, its training process and finetune dreambooth on our custom dataset.","{'1': {'title': 'Dreambooth-Stable Diffusion for Custom Images', 'lessons': ['The Current Landscape of Generative AI', 'Why Stable Diffusion', 'Recap on History of Stable Diffusion', 'Intuition behind Stable Diffusion', 'How to train a Stable Diffusion model', 'Introduction to Dreambooth', 'Understanding the Dreambooth Process', 'Tricks to Name Your Concept Uniquely', 'How to Select Images for Finetuning Dreambooth', 'Setting up the Training Environment', 'Code-Finetuning Dreambooth model on Custom Dataset', 'The Importance of Captioning in Dreambooth', 'Differences between Stable Diffusion and Dreambooth']}}"
A Comprehensive Learning Path for Deep Learning in 2023,"The most common question we get from beginners in the field of Deep Learning is - Where to begin? The journey to becoming a Deep Learning expert can be difficult if one does not have the right resources to follow. There are a million resources to refer and it is tough to decide where to start from.
We are here to help you take your first steps into the world of Deep Learning. Here is a free learning path for people who want to become a Deep Learning expert in 2023. We have arranged the best resources in a logical manner along with exercises to make sure that you only need to follow one single source to become a data scientist.","{'1': {'title': 'January 2023', 'lessons': ['Getting Started', 'Overview of the Learning Path', 'Month-on-Month Plan', 'Introduction to Deep Learning', 'Applications of Deep Learning', 'Setting up your System', 'Descriptive Statistics and Probability', 'Python', 'Exercise : Python', 'AI&ML Blackbelt Plus Program (Sponsored)']}, '2': {'title': 'February 2023', 'lessons': ['Start engaging in data science / deep learning communities', 'Inferential Statistics', 'Exercise : Statistics', 'Partial Derivative', 'Linear Algebra - Part 1', 'Linear Regression', 'Logistic Regression', 'Exercise : Linear and Logistic Regression', 'Regularization Techniques (Ridge and Lasso)', 'Project']}, '3': {'title': 'March 2023', 'lessons': ['Start building your GitHub profile', 'Start building your GitHub profile', 'Linear Algebra - Part 2', 'Getting Started with Neural Networks', 'Understanding Forward Propagation', 'Understanding Back Propagation', 'Exercise : Understanding Neural Networks', 'Build your first Neural Network in Numpy', 'Frameworks for Deep Learning', 'Introduction to Keras', 'Build your first Neural Network in Keras', 'Project']}, '4': {'title': 'April 2023', 'lessons': ['Start Participating in Competitions', 'Handling / Pre-processing Images', 'Exercise', 'Hyperparameter Tuning', 'Regularization Techniques', 'Optimization Algorithms', 'Exercise', 'Project']}, '5': {'title': 'May 2023', 'lessons': ['Understanding Convolutional Neural Networks (CNNs)', 'Exercise : CNNs', 'Hyperparameter Tuning', 'Transfer Learning', 'Data Augmentation', 'Project']}, '6': {'title': 'June 2023', 'lessons': ['Build your resume and apply for Internships', 'Visualizing Convolutional Neural Networks', 'Project 3 on CV', 'Project 4 on CV']}, '7': {'title': 'July 2023', 'lessons': ['Start writing articles', 'Handling / Pre-processing Text Data', 'Exercise', 'Recurrent Neural Networks (RNNs)', 'RNNs - Video', 'LSTM', 'GRUs', 'Transfer Learning for NLP', 'Project 1 on NLP']}, '8': {'title': 'August 2023', 'lessons': ['Word Embeddings', 'Exercise', 'Project 2 on NLP']}, '9': {'title': 'September 2023', 'lessons': ['Attention Models', 'Attention Models - Text', 'Project on Attention Models']}, '10': {'title': 'October 2023', 'lessons': ['Unsupervised Deep Learning', 'Project on Unsupervised Deep Learning']}, '11': {'title': 'November 2023', 'lessons': ['GANs : Video', 'GANs', 'Project on GANs']}, '12': {'title': 'December 2023', 'lessons': ['Apply for Jobs and Internships', 'Way Forward']}}"
